96,noraiturn, @mitchybeetchy @letsefLaaaan galing daw sila sa pakikipag-usap sa mga magsasaka sa LB kaya na-late ng dating. #DuterteVisitsUPLB,,,,
97,divaisJAY, #BuwisBuhayShot #DuterteVisitsUPLB https://t.co/8T6g1fhDt3,,,,
98,ABlessingToYou," #DuterteVisitsUPLB So proud of Mayor Duterte!! Goosebumps nung nagsigawan na ang mga tao ng """"Duterte! DUTERTE!!"""" <ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> https://t.co/QmgHhsb0kE",,,,
99,amerckay, I am not in favor of him, I am not against him either. I tweet to update not to endorse. #DuterteVisitsUPLB,,,
100,javiercgm, Why do we kill people who kill people to show killing people is wrong? (c)anonymous #DuterteVisitsUPLB #PHVote,,,,
101,eyesbeybe, #DuterteVisitsUPLB https://t.co/RyATHzbtwQ,,,,
102,Conniegchow, @MAKIrifrvr suwerte mo ur a lucky kid ako wala pic with him <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> #DuterteVisitsUPLB #PHVoteDuterte #cayetano,,,,
103,divaisJAY, Sa haba ng pila akalain mong nakapasok tayo lovedanix3 @andaaah <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> #DuterteVisitsUPLB https://t.co/V6OrcSdg75,,,,
104,sh3ysh3y, You reap what u sow.#DuterteVisitsUPLB  https://t.co/kVA5gbQakI,,,,
105,_brnrdn, Okay ka na sana, nasira ka lang sa tanong ng nurse sa plataporma mo sa kalusugan ng mga Pilipino #DuterteVisitsUPLB https://t.co/RxwuMAU6mX,,,
106,UPFayth, Pero nakaidlip talaga ko kanina for a very very short time lang naman. HAHA!! Kasi naman haba ng kwento ni Mayor! #DuterteVisitsUPLB,,,,
107,merilla2010, @mitchybeetchy @letsefLaaaan maybe not.. he just find himself to be a critic.!.. ha haDuterte is always ready#DuterteVisitsUPLB,,,,
108,MercyMe875, #PHVoteDuterte #DuterteVisitsUPLB  https://t.co/W2aikhhauw,,,,
109,markxjay, #DuterteVisitsUPLB #CayetanoVisitsUPLB https://t.co/UVgs53bwnQ,,,,
110,AraAcebedo, Trueeee #PHVoteDuterte #DuterteVisitsUPLB  https://t.co/HZvk2N8xqM,,,,
111,MercyMe875, #PHVoteDuterte #DuterteVisitsUPLB  https://t.co/Qd08bHucli,,,,
112,DaMercadz, Nakakainis yung mga organizations na hindi marunong mag-organize. #DuterteVisitsUPLB,,,,
113,yeolstagram, During his talk #DutertevisitsUPLB @ DL Umali Auditorium UPLB https://t.co/thGwib4A1N,,,,
114,arendgreat, Nakakatuwang magbasa ng #DuterteVisitsUPLB tweets... para akong nagluluto nang palabok... sayang busy sa work kanina... go duterte!!! <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>,,,,
115,yeolstagram, Hello Mayor! #DutertevisitsUPLB @ DL Umali Auditorium UPLB https://t.co/v3l1DJbwac,,,,
116,AraAcebedo, Wala nmn kc slang ibng issue #DuterteVisitsUPLB #PHVoteDuterte  https://t.co/XXXTYWzOl9,,,,
117,merilla2010, @HSHTG_BREAKFREE  tagal na nila sinasabi yan.!Si mayor pa nagsabi if they have the cause then file a case against him#DuterteVisitsUPLB,,,,
