162,missjover, Grabe! These Duterte supporters are uncontrollable! #IstandwithStephenVillena #UPLB  https://t.co/tkrloR1ZuM,,,
163,missjover, @pinoymommy @Lah_lah_j @marocharim yes and check the comments #notocyberbullying #UPLB https://t.co/qacVIdYvky,,,
164,itsmekaycelle, Dahil sa sobrang pagmamamahal sa inang bayan, kaya naming itanong lahat ng bumabagabag sa amin kahit na magmukha kaming bastos. #UPLB,,
165,DizzyMissNizzie, 'Nambastos' is too strong a word. #UPLB,,,
166,missjover, @pinoymommy @Lah_lah_j @marocharim look they made an FB page like this. #UPLB #NotoCyberbullying https://t.co/3vTYP8qBTf,,,
167,zyxa09, Obviously you have a bad motive.. wrong move dear.. nadamay pa #UPLB  #Du30 LP Partylist aspirant ka pa man din.. https://t.co/bPeDa8jYZ8,,,
168,zheyrhumbee, #NoToCyberBullying I stand with Stephen. #NoToDuterte #UPLB https://t.co/cPZrjF902A,,,
169,ejopaye, I don't think Stephen was rude, ppl should know the whole story https://t.co/TGNsVZWnG3 #IstandwithStephenVillena #UPLB,,
170,sgt_kero," Sayang daw ang binabayad ng mga taxpayers sa #UPLB dahil sa attitude ni #stephenvillenaPUP be like """"been there"," done that"""" #Eleksyon2016",,
171,dimi_migz, pls. raise a clear question if you want a straight answer #boom #UPLB,,,
172,missjover, @uplbprofs I already did po. Pati yung FB page na ginawa nila. Grabe! #UPLB #IStandWithStephenVillena https://t.co/PRhvItSZ7N,,,
173,racheldevera, Education in Davao has always been a priority, alongside defense.. Why force that one should be compromised over the other? #UPLB #Duterte,,
174,missjover, And to top of it all ginawan nila ng ganitong page ang bata! #IstandwithStephenVillena #UPLB https://t.co/ahApSia025,,,
175,racheldevera," Dont use your institution and defend it as """"freedom  of expression"""" to mask your ignorance. #UPLB #Duterte",,,
176,racheldevera, Your question is really silly. Even your verb usage is abominable. What compensate? should have been COMPROMISE. #UPLB #Duterte,,,
177,aimamurao, #UPLB finds https://t.co/A6ypspMOPI,,,
178,Jaypee_Gozun, Mas nabother ako sa man bun ni kuya kaysa don sa pagtatanong niya. Ba't ganon.... #UPLB,,,
179,missjover," When Villena said na """"para makauwi na po kayo"""" it was a consideration 4 Duterte kasi gusto na nga niyang umalis agad #UPLB #NotoDuterte",,,
180,havenPavfoix, e ikaw? #UPLB  student k p lang at kilala pang school e ganyan na ang manners mo tsaka iba ang mura sa manners lalo na when you speak. #opin,,,
181,havenPavfoix, kay mayor duterte kasi hindi offensive  kahit sya na ang mag mura..my own opinion ah.. and mag mura man sya kaya nyang panindigan.#UPLB,,,
182,programming22, https://t.co/d7uZOVvVOU #Linya ng Nagseselos #BRIEF NI JEKOY PLS #UPLB  #Aldub #KATHNIEL #KMJS11  https://t.co/QuU1kOPsll,,,
183,Tikoymanstur, @paul_james26 that is a very nice suggestion no? mature at napag isipan naten yan ng mabuti. Makakatulong yan sa pagtatama ng mali #UPLB,,,
184,missjover, Eto Yun e! #UPLB https://t.co/HBYSMgYviE,,,
185,hellothisisjosh," Laking mindguard statement: """"mali naman kasi tanong mo""""  -walang maling tanong sa UP! #PHVote #UPFight  #UPLB",,,
186,missjover, Yes he is. And tama naman sya na tapusin na, kasi nagmamadali si Duterte #UPLB #NotoDuterte https://t.co/SRBGaDPyHV,,
187,hannahmeymey, #ManilaCathedral #Caliraya #UPLB #ManilaOceanPark #Calamba <ed><U+00A0><U+00BD><ed><U+00B2><U+009C> Thankful. <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> https://t.co/Vr0oOQF3Ap,,,
