tellexcope, gay president(?) kopiko duterte uplb student bagong mang kanor...yehey for my country
ONEPHILIPPINES,"UPLB student �disrespectful� to Duterte breaks silence: The University of the Philippines Los Ba�os (UPLB) stu... https://t.co/fF7kyAT9WI
kTiNoJ, UPLB student: No intention to disrespect Duterte https://t.co/B47Li63cz8
baby0811, https://t.co/iBgHSQnNnV <ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD>
chiakentz, Good thing, the issue about Duterte's forum in UPLB has cooled down. Hoping for more consideration of the off-cam situation in the event.
miguelkeanu, Ang Bastos naman nung UPLB student na yun.  Buti kalmado at hindi pinahiya ni Duterte si koya. he is not representing his school well. haha
pinoynewsonline, Mayor Duterte 's Response On Arrogant UPLB Student: https://t.co/XAEkVkMJs4 via @YouTube
PHHotTrends, UPLB student: No intention to disrespect Duterte https://t.co/zh34h1TDW5
DPKZXC,"Grabe yung studyante na taga UPLB na binastos si Boss Duterte. Tsktsk <ed><U+00A0><U+00BD><ed><U+00B1><U+008A>
Dreeewww_, Gonna watch Mayor Duterte's Q&amp;A in UPLB last march 11, 2016 in youtube.
MaChooseYou, Me in light of recent UPLB student-Duterte issue https://t.co/tmn59Mi20O
reeyginaa, Pota ano man kung nabastos si Duterte sa UPLB, si Roxas at Binay nga nababastos araw araw sa social media. Big deal ba? Pwe
withersfork, #Duterte's message to his supporters RE #UPLB student: https://t.co/h4clwE3zbf
pinoynewsonline, Mayor Duterte 's Response On Arrogant UPLB Student: https://t.co/EG4AdYLLbO via @YouTube
abbyshug, #UPLB #duterteStephen Villena https://t.co/3WIQpFfDLZ
impaulcutamora, Kung kay Mar or Binay kaya nangyare kay Duterte sa UPLB. Magiging rude pa din kaya yung stud? #Election2016
techpinas, @tonyocruz @a1rphones https://t.co/gU07cd6ErN
PhilstarNews, UPLB student: No intention to disrespect Duterte https://t.co/TnDW3Mh5ey
1nutty_hazel, If you condone &amp; defend Duterte's crassness &amp; lack of respect for women, you're the last person who should teach that UPLB student manners.
MangCaloy_, UPLB Students : Bastos KameDuterte's tard : makakapatay kameMe : Me:Me:*breathes*Me again : Mabuhay si Satanas <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
rosette_adel, UPLB student: No intention to disrespect Duterte @PhilstarNews https://t.co/pDnslXmcsl via @sharethis
msnph, #UPLB student to #Duterte supporters: I meant no disrespect | https://t.co/PAHtqKPJX3 https://t.co/Wksiwufx3h
twit2millions, @Poka_Valdez Sige lang bro,Duterte to supporters: Be civil, intelligent, decent, compassionate via @rapplerdotcom https://t.co/ovMj35OloA
towiLETTE, The question did not disrespect the mayor but not giving him the time to finish what he is saying did. https://t.co/JdfGAgEB2g
LeeBryle, That UPLB kid actually has the right to question Duterte. Please don't be too lethal Duterte supporters. And stop making it a big deal.
Poka_Valdez, No intention??? Klarong-klaro sa vids.. https://t.co/082VMYISZY
bornokyo, All it took to take down Duterte is a question from a UPLB student. How lame! #duterteserye
