jfuntszz,Nag trend ang Bastos.  UPLB #Duterte https://t.co/Uea8Dgr9Di
jadine_uplb,"Head over heels in love be like: FROM PUYO TO BURLINGTON SOCKS <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+009C>

REIDY SET SLIME
#SweepMyxForNaddie  https://t.co/S5XMw3OoaY"
SsanBartZ,@carlothewacko i am looking forward to see ur candidate Mar roxas to go ro UPLB as well
ptrcvllbr,trending yung uplb
myelski,uplb students be eating hasty generalizations for bfast
dlorentzfactor,HOT TAKE: The commenters came off as more rude than the UPLB kid questioning Duterte.
nicotinehayel,UPLB trending. Is this because of the Duterte x rude student issue? meh!
4Duterte,"Stephen Villena, as a Duterte supporter, I dont hate as a person coz I dont knw u personally, its just sad u put UPLB in a bad light."
seven_kathleen,Grabe naman yung student from UPLB <ed><U+00A0><U+00BD><ed><U+00B8><U+0092><ed><U+00A0><U+00BD><ed><U+00B8><U+0092>
IamKarlalicious,UPLB Man? <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> Pang-tapat daw kay Carrot Man? Eh kung tutuusin mas okay pa si Carrot Man kesa kay UPLB Man. <ed><U+00A0><U+00BD><ed><U+00B8><U+009C> #UPLB #StephenVillena
jadalgncastillo,"My say regarding sa ""pambabastos"" ng UPLB student by RAPPLER:

Yung ""kabastusan"" ni Duterte, try nyo pansinin once para fair tayo. Smile. :)"
juuckiboks,oh trending na naman UPLB
tsareees,Nasobrahan ng bayag yung UPLB student na beastmode kay Duterte. Hahahaha
shetsette,Good morning! Ahihi ganda na naman image ng uplb ha hmmmmm =-)
_jennzky_,UPLB <ed><U+00A0><U+00BD><ed><U+00B8><U+0091><ed><U+00A0><U+00BD><ed><U+00B8><U+0091><ed><U+00A0><U+00BD><ed><U+00B8><U+0091><ed><U+00A0><U+00BD><ed><U+00B8><U+0091>
gettedomingo,IT'S UPLB AGAINST THE PHILIPPINES OLRAYT
yzagurl,Watching #duterte2016's interview at #UPLB. <ed><U+00A0><U+00BE><ed><U+00B4><U+0094>
lumacob,@Chino_Pipino @4Duterte RIP UPLB https://t.co/ZILrn40cus
mhilchristym,hala oy ngano man tong taga UPLB bzzzt
hopeyraj,Trending ang UPLB.
IamBiaaancaaaa,Ui bakit trending UPLB? Ano ba ganap?
Duterte24x7,Presidential candidate Rodrigo Duterte was disrespected by a student from UPLB! | https://t.co/0l3f7vH4ys #PHVoteDuterte
camillequinones,"baka naman may political party na sinusupport yung uplb student kaya ""nambabastos"" ng ibang kandidato?"
purrferfur,"Grabe. Ang utak talangka naman nung UPLB student na yun, kainis, di magets"
iyatrinidad,@iyatrinidad What this UPLB student did was so low. Wala niya g-isip sa iyang mga gpang-ingon. may masabi lang and para maingnan bright lol
crcmarquezmd,Duterte was able to handle tough questions. But the question made by the UPLB student was not tough at all. The... https://t.co/Unm9M480VZ
BurgerKingLee,Kairita yung student ng UPLB <ed><U+00A0><U+00BD><ed><U+00B8><U+00A4><ed><U+00A0><U+00BD><ed><U+00B8><U+00A4> di lahat ng nasa UP matalino simpleng pag tahimik lang habang sinasagot yung tanong di kaya
ItsCindyIsrael,Trending talaga yung taga UPLB eh.
kainoax,@NONONOYOUTHH gusto ko yung logic na parang napaka-insular ng uplb for the admin to intervene
pvmsii,Tried reading the comments about UPLB students regarding the Duterte issue. Nakaka-frustrate. <ed><U+00A0><U+00BD><ed><U+00B8><U+00A7><ed><U+00A0><U+00BD><ed><U+00B8><U+0095><ed><U+00A0><U+00BD><ed><U+00B8><U+0091>
ryanrites,Nanggigigil ako!!! Masyadong nagmamarunong 'tong UPLB student na 'to<ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008A><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>Si Duterte pa talaga ginago mo.
jonelmico,"In 3-6 months, lagot yung student from UPLB. Jkk <ed><U+00A0><U+00BD><ed><U+00B8><U+009D>"
iyatrinidad,"@iyatrinidad -- intelligent than Digong. wala na sya naulaw? lol pathetic jd kaayo sya. He just humiliated his school, UPLB <ed><U+00A0><U+00BD><ed><U+00B8><U+008F><ed><U+00A0><U+00BD><ed><U+00B8><U+008F>"
kimtappy,Ayoko ng maging uplb student magaaudition nalang ako sa star magic hahaha jk
beorvb,Hala trending ang UPLB at Stephen Villena <ed><U+00A0><U+00BD><ed><U+00B8><U+00B1>
ItsSamGonzaga,Ang pangit na ng name ng UPLB dahil dyan kay Stephen Villena. Hays
Mike_Angelo30,"Teacher Gelo's Blog: Rodrigo Duterte, Confronted by a UPLB Student Step... https://t.co/MEvUJ3dqZC"
itsDisaJ,Not everyone who studies in UPLB is a well educated person. <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>
pauldelfin_15,merese ning taga UPLB na si Stephen.. gaba mga tao nay ni bash nimo sa pagkabastos hahaha meresedetii
imanyuwel,"Kung makajudge na bastos yung UPLB students ang mga Dutertards, parang hindi nambabastos ng babae si Duterte."
beamsalazar,bida nung nagtanong na UPLB student huehue
danicasrmnt,Bakit uplb nanaman?
KYLEtoglutarate,Some people bashing UPLB because of the disrespectful act of the bastos guy.
