jfuntszz,Nag trend ang Bastos.  UPLB #Duterte https://t.co/Uea8Dgr9Di
jelenmara,"@jelenmara Medyo na-off ako don nasa uplb pa naman yung event, akala siguro ng lahat ng tao taga uplb yon hayst #hastygeneralizations"
mackemasdl,Astig yung mga komentaryo sa UPLB. haha!
frontpagecebu,"VOTE. #39PALPARANFORSENATOR
  IBOTO AT PILIIN SA CONGRESSO #110BUHAYPARTYLIST https://t.co/85z8CNLZqU"
anadnominees,"VOTE. #39PALPARANFORSENATOR
  IBOTO AT PILIIN SA CONGRESSO #110BUHAYPARTYLIST https://t.co/Q6lVTfSHmH"
frontpagecebu,"VOTE. #39PALPARANFORSENATOR
  IBOTO AT PILIIN SA CONGRESSO #110BUHAYPARTYLIST https://t.co/68tlzQxeuV"
cebuanoblog,"VOTE. #39PALPARANFORSENATOR
  IBOTO AT PILIIN SA CONGRESSO #110BUHAYPARTYLIST https://t.co/0WnOPk8vmF"
cebuanoblog,"VOTE. #39PALPARANFORSENATOR
  IBOTO AT PILIIN SA CONGRESSO #110BUHAYPARTYLIST https://t.co/8TtooSQ81S"
gettingsammy,Walang kwenta kung halimbawa pinag-mando mo ng eroplano ang isang chef. Walang koneksyon parang tanong nung isang taga-UPLB mo walang kwenta
findingnewow,So some UPLB students roasted duterte.. hmmm
cebuanoblog,"VOTE. #39PALPARANFORSENATOR
  IBOTO AT PILIIN SA CONGRESSO #110BUHAYPARTYLIST https://t.co/LfTdXKaA66"
stickoolet,"Merong UPLB student na sumikat sa social media for the wrong reasons. Learn your manners, Toto! &amp; @rapplerdotcom please stop w/ the bias! <ed><U+00A0><U+00BD><ed><U+00B8><U+00A1><ed><U+00A0><U+00BD><ed><U+00B8><U+00A4>"
cebuanoblog,"VOTE. #39PALPARANFORSENATOR
  IBOTO AT PILIIN SA CONGRESSO #110BUHAYPARTYLIST https://t.co/jzjYSEOKn7"
cebuanoblog,"VOTE. #39PALPARANFORSENATOR
  IBOTO AT PILIIN SA CONGRESSO #110BUHAYPARTYLIST https://t.co/4mw20nZHUj"
cebuanoblog,"VOTE. #39PALPARANFORSENATOR
  IBOTO AT PILIIN SA CONGRESSO #110BUHAYPARTYLIST https://t.co/BHuvKMPAsp"
cebuanoblog,"VOTE. #39PALPARANFORSENATOR
  IBOTO AT PILIIN SA CONGRESSO #110BUHAYPARTYLIST https://t.co/Qi2iMp3JW3"
cebuanoblog,"VOTE. #39PALPARANFORSENATOR
  IBOTO AT PILIIN SA CONGRESSO #110BUHAYPARTYLIST https://t.co/euPIT16EWA"
TheTrentGalvez,"@heynafurukawa Haha sayang. Mataas kasi talaga passing for UPD, UPManila at UPLB. UP Manila sana ako nun. Hehe"
sharmmarquez,Oy grabe yung UPLB Student na nagtanong kay Duterte ha :(( HAHA
heynafurukawa,"@TheTrentGalvez Buti ka pa! Point something nalang sana, pasado na ako. UPLB and UPD kaayo akong gitarget so... <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B4><U+00AB>"
aivan_sison,"@PHVote sa uplb required ata mambastos ng bisita. Magaling na sila pag ganun? Yan na ba ang ""iskolar ng bayan""?"
christellejadem,Bwisit jud tong taga UPLB way respeto bwisit kamatay uy
hzn_apoduwaling,@PHVote Arrogant UPLB students were not there to get to know Duterte.They were there to test their rabidness on the feisty mayor.Then mock.
alexithymicman,Politics in UPLB is BURNINGGGG.
raabandala,Pero luuya jud atong UPLB freshie na ginabash uy... you learned your lesson kid. You have to let a person finish talking before you talk.
ImRaphael1997,NAPAKA AROGANTE NAMAN NETONG ESTUDYANTE FROM UPLB!!!! PAKYU AMPOTA https://t.co/JnFUdKUtuS
jegocalderone,"Yung aroganteng UPLB student sa forum ni Mayor Duterte, for sure nagyayabang yun na kunwari sobrang interested siya sa politics."
hzn_apoduwaling,@rojan88 concerned UPLB students are not patient. They were not there to listen but to interrogate him.They seemed to be in a hurry.
hyacinth_aubrey,#UPLB #DuterteVisitsUPLB https://t.co/ClR3C9GZXj
TheTrentGalvez,Grabe ka bulok na question from a UPLB student to Mayor Duterte. Dili porket UP ka boy ana ka magsturya. Kaulaw uy. Pwe. Haha
whoaitsninja,"@UPLBConyos I'm a proud Davaoe�a. HE DOES NOT DISRESPECT WOMEN. A student from UPLB is. ""Para makauwi na kayo."" WOW. #PHVoteDuterte"
lumacob,@UPLBOfficial bastos at walang respeto ang studient ninyo RIP UPLB https://t.co/FhpKpLR6PP
hyacinth_aubrey,#UPLB scholar pa namang naturingan! #DuterteVisitsUPLB #duterte2016 #PHVoteDuterte https://t.co/BReRx9YBaH
judeskolorde,"Okaaay may nagkamali nanaman pong bata sa UPLB, issue nanaman. Haha Goodnight! :)))"
zenacolleeen,di lang po agriculture course sa uplb :--(
geezus116,daghana nasuko sa taga UPLB oy. kung gi unsa nila pag tira si duterte.  sumbagaya nlng na para makita ang katag. hehhe..basta #DU30 gihapon
pursyablanch,watched the vid about Duterte and a UPLB student. di naman lahat ng isko't iska ay gaya ni kuya na rude. wag sanang maggeneralize
marionleviuy,Wow UPLB students. Much wow. Mga bastos. <ed><U+00A0><U+00BD><ed><U+00B9><U+0084>
accuxiidia,@nachelleee @jadine_uplb @jadinexwolves @jeyehanash @teamkabebe pg asang pasapak hahaha
bellified,"Had fun reading the comments section of the full Q&amp;A Duterte visits UPLB forum of Rappler. Sadly, maaga pa call time mamaya. :("
accuxiidia,@nachelleee @jadine_uplb @jayehanash @jayehanash @teamkabebe hahah adik papatayin mo ako sa sarili kung tawa hahaha
Nachelleee,@jadine_uplb @accuxiidia @TeamKaBebe think positive <U+2764>
Nachelleee,@accuxiidia @jadine_uplb @JaDinexWolves @JeyeHanash @TeamKaBebe hahaha <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> May pag asa pa daw po
accuxiidia,"@jadine_uplb @jadinexwolves @jeyehanash @nachelleee @teamkabebe assume pa more, epekto ng jadine ito haha"
Nachelleee,@accuxiidia @jadine_uplb @JayeHanash @TeamKaBebe Akala ko po kasi si @JayeHanash  po yung tintukoy nyo. Sorry po <ed><U+00A0><U+00BD><ed><U+00B8><U+009E>
jadine_uplb,@Nachelleee @accuxiidia @TeamKaBebe WE CAN WIN THIS THING! LORD knows who deserves to! <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BD><ed><U+00B1><U+008A>
accuxiidia,@nachelleee @jadine_uplb @jayehanash @teamkabebe patay ka bukas kay bebeng hahahaha
Nachelleee,@accuxiidia @jadine_uplb @JaDinexWolves @JeyeHanash @TeamKaBebe ako din. Hahaha buti na lang hindi ko pinost
jadine_uplb,@accuxiidia @JaDinexWolves @JeyeHanash @Nachelleee @TeamKaBebe AHAHA ako din!!!! <ed><U+00A0><U+00BD><ed><U+00B9><U+0088><ed><U+00A0><U+00BD><ed><U+00B2><U+0094><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
Nachelleee,@jadine_uplb @accuxiidia @TeamKaBebe Goodnight po. <U+2764> Ipapray din natin si @JayeHanash na sana manalo. <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
accuxiidia,@jadine_uplb @jadinexwolves @jeyehanash @nachelleee @teamkabebe kamuntikan ko na ipag yabang sa fb ung like nya..
Nachelleee,@accuxiidia @jadine_uplb @JayeHanash @TeamKaBebe ay sorry <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
Nachelleee,@jadine_uplb @accuxiidia @JaDinexWolves @TeamKaBebe @JeyeHanash Hahaha ayan na naman
accuxiidia,@nachelleee @jadine_uplb @jayehanash @teamkabebe kuya? Babae si bebeng hndi lalake haha
jadine_uplb,@Nachelleee @accuxiidia @JaDinexWolves @TeamKaBebe Ahihihi. Nagising tayong lahat nung naglike si @JeyeHanash. LAST MO NA YAN <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
krapyeolchan,"Funny kasi sabi ang babastos daw ng uplb students tapos alagad daw ni roxas <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> keep on generalizing, saya eh noh?"
RNDkhin,"I already fixed my bed and about to sleep. But I saw this, posted by a group I am currently following. This UPLB... https://t.co/x4Dp58C1TA"
Nachelleee,@accuxiidia @jadine_uplb @JaDinexWolves @TeamKaBebe sige po :) Go for the win @JayeHanash  <U+2764><U+2764><U+2764>
accuxiidia,@nachelleee @jadine_uplb @jadinexwolves @teamkabebe haha ops bago tau matulog pag pray muna nating si jebs para bukas
jelenmara,Black and white @ DL Umali Auditorium UPLB https://t.co/HTeOQzOToP
Nachelleee,@accuxiidia @jadine_uplb @JayeHanash @TeamKaBebe Niloko ko nga po sya. Sabi ko pls follow me back kuya or else magpapakamatay ako. Haaha <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
accuxiidia,"@nachelleee @jadine_uplb @jayehanash @teamkabebe o diba? Sanay na ako jan, ganyan din yan sa ig at fb hahaha ang sungit"
Nachelleee,@accuxiidia @jadine_uplb @JaDinexWolves @TeamKaBebe oo nga po eh para laging happy lang walang ending <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
Nachelleee,@accuxiidia @jadine_uplb @JayeHanash @TeamKaBebe Sino po? Hindi nya po ako pinansin. Kayo lang po yung namansin <U+2764>
gauttier,nakatawa ko atong taga UPLB narrow kaayog question mga alagad ni Roxas hahaha!
accuxiidia,"@nachelleee @jadine_uplb @jayehanash @teamkabebe buti kapa kinausap nya, snobera yan si bebeng saakin eh haha"
Nachelleee,@accuxiidia @jadine_uplb @JaDinexWolves @TeamKaBebe Hahaha <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> Ang saya nila pag usapan hahaha <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
accuxiidia,@nachelleee @jadine_uplb @jadinexwolves @teamkabebe  kaya nga sana laging ganito hahaha ung walang mga pabebe at haliparot
Nachelleee,Hindi man ako napansin ni @JayeHanash ? Atleast nakausap ko sila @TeamKaBebe @accuxiidia @jadine_uplb Thank you po. <U+2764>
accuxiidia,@nachelleee @jadine_uplb @jadinexwolves @teamkabebe  haha dipa ako inaantok dahil sa mga posers nayon haha
Nachelleee,@accuxiidia @jadine_uplb @JaDinexWolves @TeamKaBebe Ang saya po kasi <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
rollynugh,lumabas lang ako for 7eleven baked mac pagbalik ko bastos na mga taga-UPLB HOY ANO chos
Nachelleee,@accuxiidia @jadine_uplb @JaDinexWolves @TeamKaBebe Oo nga po eh <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
accuxiidia,@jadine_uplb @jadinexwolves @nachelleee @teamkabebe  haha parang halohalo na haha mabenta..
Nachelleee,@jadine_uplb @accuxiidia @JaDinexWolves @TeamKaBebe Random na po. Ang saya nyo pong lahat kausap eh. <U+2764>
marnellaforlife,"Clear blue sky of UPLB yesterday, march 11.frustrated photographer here haha @UPLBOfficial <U+2600><U+26C5><U+2601><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099> https://t.co/NeZDca0J4O"
NheneRosalie,UPLB student..he is arrogant https://t.co/a4dvqzc8sW
accuxiidia,@nachelleee @jadine_uplb @jadinexwolves @teamkabebe nag muka tuloy tayong mga baliw hahahahaha
jadine_uplb,"@Nachelleee @accuxiidia @JaDinexWolves @TeamKaBebe Yung totoo po, yung sa mga posers pa din po ba pinag uusapan or may ibang hugot na po? <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
loisdequina,Digong at UPLB
UPLBCEATSC,The most updated Palarong UPLB 2016 Guidelines is also posted at the CEATSC Online Bulletin Board: https://t.co/hxLLBmoPp0
Nachelleee,@accuxiidia @jadine_uplb @JaDinexWolves @TeamKaBebe I feel you po. Natatawa tuloy ako mag isa. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
Nachelleee,@jadine_uplb @accuxiidia @JaDinexWolves @TeamKaBebe Oo nga po eh. Kaya kailangan mapagmasid at huwag magpadalos dalos sa mga nakikita <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
accuxiidia,"@jadine_uplb @jadinexwolves @nachelleee @teamkabebe hahaha kaya nga hahha laughtrip, napasaya naman ako dun haha"
jadine_uplb,"@rafaelabringas If his sked permits. But am sure he'll find a way, he wants to get slimed!!!! <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>"
Nachelleee,@accuxiidia @jadine_uplb @JaDinexWolves @TeamKaBebe Hahaha <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> Mga tao kasi ngayon mahilig sumunod sa uso na magpaasa at manakit.
UPLBCEATSC,Here is the summary of Palarong UPLB 2016 activities https://t.co/CxmHT1dR7C
jadine_uplb,"@accuxiidia @Nachelleee @JaDinexWolves @TeamKaBebe Pag hindi po kasi papansinin, mapagkakamalan yung username <ed><U+00A0><U+00BD><ed><U+00B8><U+00B9>"
accuxiidia,"@nachelleee @jadine_uplb @jadinexwolves @teamkabebe  ung tipong kinilig rin ako kasi nilike ni james kunwari, anak ng pating haha"
kaiTNXBYE,I wonder how UPLB will respond to this outrage.
allenwindel,Okay matter loading about Duterte's visit in UPLB.
marmacrohon,"Rude UPLB student.. <ed><U+00A0><U+00BD><ed><U+00B8><U+00A2> Don't worry Digong, you still did a great job! <U+263A><U+FE0F>"
Nachelleee,@accuxiidia @jadine_uplb @JaDinexWolves @TeamKaBebe di nya alam na hopia sya
Nachelleee,@accuxiidia @jadine_uplb @JaDinexWolves @TeamKaBebe May nagpost po sa gc namin sa best day ever kasi nilike n james ung tweet nya
BalmerBlack,UPLB innovator develops machine to cut pest damage - The Standard https://t.co/x5uBJW58PD
accuxiidia,"@nachelleee @jadine_uplb @jadinexwolves @teamkabebe siguro lahat pa ng tweets nya ng tweet ako, ngulat ako s followers nya hahaha"
rafaelabringas,@jadine_uplb if he wins does he fly over to the kcas?
Nachelleee,@accuxiidia @jadine_uplb @JaDinexWolves @TeamKaBebe Iisa lang ata may gawa ng acc na yun eh hahaha <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
fanaticalarry,@ckmpantz haha mga animal na mga tao na ga judge sa mga UP students tungod sa question sa isa ka student adtong niadto si duterte sa uplb
accuxiidia,"@nachelleee @jadine_uplb @jadinexwolves @teamkabebe kakaloka nga dalawang un, anu kaya naisipan nila at ang daming nabulag haha"
asphyxiatinnn,@timtimvalenzz 'ng mga taga-UPLB' ???? grabe nag-generalize agad
Nachelleee,@accuxiidia @jadine_uplb @JaDinexWolves @TeamKaBebe Grabe sila. Gusto nila tayong saktan hahaha <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
Nachelleee,@jadine_uplb @TeamKaBebe @JaDinexWolves Ay? okay okay. Masyado kasing paasa. Nakakasakit na ng damdamin
AndrewDeJesus_,Jgfh from a whole day shoot at UPLB for our film.
timtimvalenzz,may magcocomment na: ~*bakit mo sinasagot ng ganyan nanay mo? ang bast0s naman talaga ng mga taga-UPLB!~!~!~!~*
jadine_uplb,@Nachelleee @TeamKaBebe @JaDinexWolves Ahihi. Sa parteng yun lang po akala ko talaga si James eh <ed><U+00A0><U+00BD><ed><U+00B8><U+0086>
accuxiidia,"@nachelleee @jadine_uplb @jadinexwolves @teamkabebe ako rin sobrang stress ako s mga bashers. Bglang kinilig, tapos fake pala.."
missinglj,"@TeamKaBebe @Nachelleee @jadine_uplb @JaDinexWolves Pero infairness sa dalawang prodigy na yan ha, nakakabuhay sila ng dugo!!"
ayelnanale,Palarong UPLB na next week!! Yie <U+2764><U+FE0F>
jadine_uplb,@TeamKaBebe @JaDinexWolves GRRRABE eh! Buti wala akong sakit sa puso kundi aabangan ko yan sa kanto ng Omni Hotel. Chaaarrr <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
Nachelleee,@jadine_uplb @TeamKaBebe @JaDinexWolves I feel you guys. So ano? Masakit umasa at masaktan no? Hahaha <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
missinglj,@TeamKaBebe @jadine_uplb @JaDinexWolves E yung nag like ako tpos na unlike ko bigla kasi nagulat ako kasi hopia lng pala. tumaas BP ko! Haha
jiyabeyb,UPLB tomorrow with Org. Mates <ed><U+00A0><U+00BD><ed><U+00B8><U+0087>
jadine_uplb,"@rtforkath @Paul_Lopez_ And claiming it talaga even if the results say otherwise. Masabi lang. Anyway, congrats."
jadine_uplb,@rtforkath @Paul_Lopez_ Did you see the digits of the poll for hottest male actor? Am sure you're happy anyway! APPLAUSE <ed><U+00A0><U+00BD><ed><U+00B1><U+008F>
loisdequina,Shouldve went to UPLB to meet digong *sigh*
timtimvalenzz,may magcocomment siguro na: ~~*uY ang babasT0s namAn pLa ng mga taGa-UPLB?!?!?!*~~
ShineengEmerald,"I'm quite disappointed with the questions,yung isa bastos pang magtanong smh. FULL Q&amp;A:Duterte at UPLB https://t.co/DVqZPb8dhw via @YouTube"
jadine_uplb,@TeamKaBebe @JaDinexWolves I quoted tweet James kuno and then nilike niya tapos yung tili ko grrrabe tapos malaman ko HOPIA lang!!!! <ed><U+00A0><U+00BD><ed><U+00B2><U+0094>
itspauloves,"@YouTube ""Sana paki sagot lang po ng diretso kasi diretso po kaming nagtatanong at nang maka-uwi na kayo"" - UPLB student"
gallilleo,"[After Pres. Candidates speeches]

UPLB students: *ask questions*
society: ""bastos""

students: *dont ask questions*
society: ""apathetic""

<ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BE><ed><U+00B4><U+0094>"
JadinEds,@jadine_uplb @Paul_Lopez_ this time <ed><U+00A0><U+00BD><ed><U+00B8><U+0089>
_fangirlfromph,"@jadine_uplb HAHAHA baka may umangal pa dyan ha 

#JamesGetsSlimed"
jadine_uplb,"AHAHAHA this is cute! 
#JamesGetSlimed https://t.co/vmxaNVww2u"
joycelovegonza2,"@jadine_uplb @cumatmejames God is good ! Kahit ano pa resulta bukas , James is always the winner for us ."
tayapski,@mavdeguzman di ba kaya nga tinawag na bastos kasi hindi maganda yung ginawa mo? or is this simply biased kasi ayaw ng UPLB kay Binay?
jadine_uplb,@ughlexisreid Ibigay nalang yan sakanila. Coz I think that poll has a reason. James will win KCA!!!! Gosh lakas ng gut feel ko!!!!
jadine_uplb,"You feel me Tigers! Let's win this. LET'S ALL PRAY for this!!!!
#JamesGetSlimed https://t.co/hWSUuBolQJ"
gallilleo,di ko gets bakit bastos daw ang uplb students pero walang nagsasabing bastos si du30 kahit ilang beses siyang nagsabi ng putangina sa forum
giiianhernandez,@ImjanTyronejan sinabihan ako ng isang UPLB student na mababaw magisip dahil sa sinabi ko hahahaha <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
tayapski,"@mavdeguzman out of context or not, iisipin pa rin ng mga tao na bastos sya. Same with Binay. So UPLB should just keep at it."
jadine_uplb,"JaDines, let's pray for JAMES' result in KCA. That poll had been a premonition for me, UNDERDOGS will rule in the end!!!! <ed><U+00A0><U+00BD><ed><U+00B1><U+008A>
#JamesGetsSlimed"
jadine_uplb,"My hormones are agitated!!!! (Ano daw?!)
I'm having this gut feeling!!!! Lord, I know malakas ako sayo! I KNOW! <ed><U+00A0><U+00BD><ed><U+00B1><U+008A> https://t.co/XOriQNRgKB"
damienful,"Can't stand how Katrine call UPLB people and herself, ""UPLB�an""! Not once, but twice. Putashet. 

(Photo: T. Lapid) https://t.co/4Gg4iTjt4r"
jadine_uplb,@ughlexisreid Nakakainis di ba. Wala na ibang ginawa kundi mambash and mang hate nalang.. Mga utak talangka nakakagigil eh.
jadine_uplb,"@joycelovegonza2 @cumatmejames AGAD AGAD dapat! Yes, prayer lang talaga mas malakas sa kahit ilang milyong boto."
magnificentmigs,"nakita ko sa youtube comments

""UPLB students- bright but lacks common sense""

lol naggeneralize naman -.-"
